Date,open,high,low,close,volume
2022-01-03,177.83,182.88,177.71,182.01,104487900
2022-01-04,182.63,182.94,179.12,179.70,99310400
2022-01-05,179.61,180.17,174.64,174.92,94537600
2022-01-06,172.70,175.30,171.64,172.00,96904000
2022-01-07,172.89,174.14,171.03,172.17,86709100
2022-01-10,169.08,172.50,168.17,172.19,106765600
2022-01-11,172.32,175.18,170.82,175.08,76138300
2022-01-12,176.12,177.18,174.82,175.53,74805200
2022-01-13,175.78,176.62,171.79,172.19,84505900
2022-01-14,171.34,173.78,171.09,173.07,80440700